country,currency,population,date,continent,happinessScore
Afghanistan,AFN,41534069,17-12-2021,Asia,3.203
Albania,ALL,2838230,17-12-2021,Europe,4.719
Algeria,DZD,45169071,17-12-2021,Africa,5.211
Argentina,ARS,45599306,17-12-2021,South America,6.086
Armenia,AMD,2778435,17-12-2021,Asia,4.559
Australia,AUD,26274361,17-12-2021,Oceania,7.228
Austria,EUR,8946938,17-12-2021,Europe,7.246
Azerbaijan,AZN,10379118,17-12-2021,Asia,5.208
Bahrain,BHD,1477118,17-12-2021,Asia,6.199
Bangladesh,BDT,171843377,17-12-2021,Asia,4.456
Belarus,BYN,9523903,17-12-2021,Europe,5.323
Belgium,EUR,11667205,17-12-2021,Europe,6.923
Benin,XOF,13484816,17-12-2021,Africa,4.883
Bhutan,BTN,784294,17-12-2021,Asia,5.082
Bolivia,BOB,12279656,17-12-2021,South America,5.779
Bosnia and Herzegovina,BAM,3224273,17-12-2021,Europe,5.386
Botswana,BWP,2647085,17-12-2021,Africa,3.488
Brazil,BRL,215674776,17-12-2021,South America,6.3
Bulgaria,BGN,6743760,17-12-2021,Europe,5.011
Burkina Faso,XOF,22884997,17-12-2021,Africa,4.587
Burundi,BIF,13017981,17-12-2021,Africa,3.775
Cambodia,KHR,16832327,17-12-2021,Asia,4.7
Cameroon,XAF,28182373,17-12-2021,Africa,5.044
Canada,CAD,38575175,17-12-2021,North America,7.278
Central African Republic,XAF,5637428,17-12-2021,Africa,3.083
Chad,XAF,17925900,17-12-2021,Africa,4.35
Chile,CLP,19612088,17-12-2021,South America,6.444
China,CNY,1425859211,17-12-2021,Asia,5.191
Colombia,COP,51937003,17-12-2021,South America,6.125
Comoros,KMF,842339,17-12-2021,Africa,3.973
Costa Rica,CRC,5191005,17-12-2021,North America,7.167
Croatia,HRK,4022368,17-12-2021,Europe,5.432
Cyprus,EUR,1254745,17-12-2021,Europe,6.046
Czech Republic,CZK,10491384,17-12-2021,Europe,6.852
Denmark,DKK,5892820,17-12-2021,Europe,7.6
Dominican Republic,DOP,11268040,17-12-2021,North America,5.425
