currency,date,value
AED,17-12-2021,4.159826
AFN,17-12-2021,115.81055
ALL,17-12-2021,120.855126
AMD,17-12-2021,557.922979
ARS,17-12-2021,115.479548
AUD,17-12-2021,1.581627
AZN,17-12-2021,1.92035
BAM,17-12-2021,1.9572
BDT,17-12-2021,97.222163
BGN,17-12-2021,1.955853
BHD,17-12-2021,0.42701
BIF,17-12-2021,2257.760376
BOB,17-12-2021,7.809263
BRL,17-12-2021,6.454507
BTN,17-12-2021,85.128182
BWP,17-12-2021,13.277994
BYN,17-12-2021,22197.93537
CAD,17-12-2021,1.452747
CHF,17-12-2021,1.041015
CLP,17-12-2021,961.385811
CNY,17-12-2021,7.220899
COP,17-12-2021,4565.866144
CRC,17-12-2021,722.805925
CZK,17-12-2021,25.276541
DKK,17-12-2021,7.436558
DOP,17-12-2021,64.354761
DZD,17-12-2021,157.243849
EGP,17-12-2021,17.834572
ETB,17-12-2021,55.306456
EUR,17-12-2021,1
GBP,17-12-2021,0.851619
GEL,17-12-2021,3.516595
GHS,17-12-2021,6.894856
GMD,17-12-2021,59.795186
GNF,17-12-2021,10738.45857
GTQ,17-12-2021,8.75793
HKD,17-12-2021,8.835287
HNL,17-12-2021,27.457097
HRK,17-12-2021,7.520799
HTG,17-12-2021,113.766128
HUF,17-12-2021,367.794857
IDR,17-12-2021,16267.97212
ILS,17-12-2021,3.547251
INR,17-12-2021,86.052225
IQD,17-12-2021,1653.039741
IRR,17-12-2021,47878.45481
ISK,17-12-2021,146.404304
JMD,17-12-2021,174.42732
JOD,17-12-2021,0.803022
JPY,17-12-2021,128.301759
KES,17-12-2021,127.989241
KGS,17-12-2021,96.028156
KHR,17-12-2021,4614.107405
KMF,17-12-2021,492.995821
KRW,17-12-2021,1342.261048
KWD,17-12-2021,0.343309
KZT,17-12-2021,496.033767
LAK,17-12-2021,12549.16213
LBP,17-12-2021,1712.676098
LKR,17-12-2021,228.786828
LRD,17-12-2021,160.76492
LSL,17-12-2021,18.228375
LYD,17-12-2021,5.21405
MAD,17-12-2021,10.489542
MDL,17-12-2021,20.10396
MGA,17-12-2021,4493.665164
MKD,17-12-2021,61.590404
MMK,17-12-2021,2016.042021
MNT,17-12-2021,3237.257029
MRO,17-12-2021,404.319342
MUR,17-12-2021,49.436069
MWK,17-12-2021,924.657046
MXN,17-12-2021,23.529127
MYR,17-12-2021,4.778784
MZN,17-12-2021,72.290151
NAD,17-12-2021,18.030405
NGN,17-12-2021,465.510787
NIO,17-12-2021,40.099714
NOK,17-12-2021,10.178699
NPR,17-12-2021,136.206736
NZD,17-12-2021,1.673979
PEN,17-12-2021,4.579265
PHP,17-12-2021,56.596833
PKR,17-12-2021,201.83068
PLN,17-12-2021,4.633029
PYG,17-12-2021,7697.95417
QAR,17-12-2021,4.123653
RON,17-12-2021,4.949803
RSD,17-12-2021,117.572649
RUB,17-12-2021,83.646015
RWF,17-12-2021,1174.291941
SAR,17-12-2021,4.250365
SDG,17-12-2021,495.483345
SEK,17-12-2021,10.276823
SGD,17-12-2021,1.545135
SLL,17-12-2021,12718.51065
SOS,17-12-2021,663.673102
SYP,17-12-2021,2845.51798
THB,17-12-2021,37.703041
TND,17-12-2021,3.255507
TRY,17-12-2021,19.067235
TWD,17-12-2021,31.512575
TZS,17-12-2021,2611.6551
UAH,17-12-2021,30.869243
UGX,17-12-2021,4026.436066
USD,17-12-2021,1.132548
UYU,17-12-2021,50.259957
VND,17-12-2021,26028.77804
XAF,17-12-2021,656.407756
XOF,17-12-2021,656.419356
YER,17-12-2021,283.420014
ZAR,17-12-2021,17.916108
ZMW,17-12-2021,10194.28578
