happinessScore,happinessRank
7.769,1
7.6,2
7.554,3
7.494,4
7.488,5
7.48,6
7.343,7
7.307,8
7.278,9
7.246,10
7.228,11
7.167,12
7.139,13
7.09,14
7.054,15
7.021,16
6.985,17
6.923,18
6.892,19
6.852,20
6.825,21
6.726,22
6.595,23
6.592,24
6.446,25
6.444,26
6.436,27
6.375,28
6.374,29
6.354,30
6.321,31
6.3,32
6.293,33
6.262,34
6.253,35
6.223,36
6.199,37
6.198,38
6.182,40
6.149,42
6.125,43
6.118,44
6.105,45
6.086,47
6.07,48
6.046,49
6.028,50
6.021,51
6.008,52
5.94,53
5.895,54
5.893,55
5.89,56
5.888,57
5.886,58
5.86,59
5.809,60
5.779,61
5.758,62
5.743,63
5.697,65
5.693,66
5.653,67
5.648,68
5.631,69
5.603,70
5.529,71
5.525,72
5.523,73
5.432,75
5.43,76
5.425,77
5.386,78
5.373,79
5.339,80
5.323,81
5.287,82
5.285,83
5.274,84
5.265,85
5.261,86
5.211,88
5.209,89
5.208,90
5.197,91
5.192,92
5.191,93
5.175,94
5.082,95
5.044,96
5.011,97
4.996,98
4.944,99
4.913,100
4.906,101
4.883,102
4.799,104
4.796,105
4.722,106
4.719,107
4.7,109
4.681,111
4.668,112
4.639,113
4.628,114
4.587,115
4.559,116
4.548,117
4.534,118
4.519,119
4.516,120
4.509,121
4.49,122
4.466,123
4.461,124
4.456,125
4.437,126
4.39,128
4.374,129
4.366,130
4.36,131
4.35,132
4.332,133
4.286,134
4.189,136
4.166,137
4.107,138
4.085,139
4.015,140
3.975,141
3.973,142
3.933,143
3.802,144
3.775,145
3.663,146
3.597,147
3.488,148
3.462,149
3.41,150
3.38,151
3.334,152
3.231,153
3.203,154
3.083,155
2.853,156
