restaurantID,restaurantName,address,Average Cost for two,hasTableBooking,HasOnlineDelivery,isDeliveringNow,switchToOrderMenu,aggregateRating,votes
6317637,Le Petit Souffle,Third Floor- Century City Mall- Kalayaan Avenue- Poblacion- Makati City,1100,Yes,No,No,No,4.8,314
6304287,Izakaya Kikufuji,Little Tokyo- 2277 Chino Roces Avenue- Legaspi Village- Makati City,1200,Yes,No,No,No,4.5,591
6300002,Heat - Edsa Shangri-La,Edsa Shangri-La- 1 Garden Way- Ortigas- Mandaluyong City,4000,Yes,No,No,No,4.4,270
6318506,Ooma,Third Floor- Mega Fashion Hall- SM Megamall- Ortigas- Mandaluyong City,1500,No,No,No,No,4.9,365
6314302,Sambo Kojin,Third Floor- Mega Atrium- SM Megamall- Ortigas- Mandaluyong City,1500,Yes,No,No,No,4.8,229
18189371,Din Tai Fung,Ground Floor- Mega Fashion Hall- SM Megamall- Ortigas- Mandaluyong City,1000,No,No,No,No,4.4,336
6300781,Buffet 101,Building K- SM By The Bay- Sunset Boulevard- Mall of Asia Complex (MOA)- Pasay City,2000,Yes,No,No,No,4,520
6301290,Vikings,Building B- By The Bay- Seaside Boulevard- Mall of Asia Complex (MOA)- Pasay City,2000,Yes,No,No,No,4.2,677
6300010,Spiral - Sofitel Philippine Plaza Manila,Plaza Level- Sofitel Philippine Plaza Manila- CCP Complex- Pasay City,6000,Yes,No,No,No,4.9,621
6314987,Locavore,Brixton Technology Center- 10 Brixton Street- Kapitolyo- Pasig City,1100,Yes,No,No,No,4.8,532
6309903,Silantro Fil-Mex,75 East Capitol Drive- Kapitolyo- Pasig City,800,No,No,No,No,4.9,1070
6309455,Mad Mark's Creamery & Good Eats,23 East Capitol Drive- Kapitolyo- Pasig City,900,Yes,No,No,No,4.2,488
6318433,Silantro Fil-Mex,Second Floor- UP Town Center- Katipunan Avenue- Diliman- Quezon City,800,No,No,No,No,4.8,294
6310470,Guevarra's,387 P. Guevarra Corner Argonne Street- Addition Hills- San Juan City,1000,Yes,No,No,No,4.2,458
6314605,Sodam Korean Restaurant,17 J. Abad Santos Drive- Little Baguio- San Juan City,700,No,No,No,No,4.3,223
18185059,Cafe Arabelle,Ayala Mall- Solenad- Nuvali- Santa Rosa - Tagaytay Road- Don Jose- Santa Rosa,800,No,No,No,No,3.6,29
18182702,Nonna's Pasta & Pizzeria,Ground Floor- Building G- Solenad 3- Nuvali- Don Jose- Santa Rosa,850,No,No,No,No,4,72
6318213,Balay Dako,Aguinaldo Highway- Tagaytay City,1200,Yes,No,No,No,4.5,211
18255654,Hobing Korean Dessert Cafe,Third Floor- BGC Stopover Pavillion- Rizal Drive Corner 31st Street- Bonifacio Global City- Taguig City,600,No,No,No,No,4.5,118
6308205,Wildflour Cafe + Bakery,Ground Floor- Netlima Building- 4th Avenue Corner 26th Street- Bonifacio Global City- Taguig City,1500,Yes,No,No,No,4.4,392
6315438,NIU by Vikings,Sixth Floor- SM Aura Premier- C5 Road Corner 26th Street- Bonifacio Global City- Taguig City,3000,Yes,No,No,No,4.7,535
6310406,The Food Hall by Todd English,Fifth Floor- SM Aura Premier- C5 Corner 26th Street- Bonifacio Global City- Taguig City,1800,Yes,No,No,No,4.5,618
6600681,Chez Michou,SCLN- 208- Bloco A- Loja 30- Asa Norte- Brasilia,55,No,No,No,No,3,6
6601005,Cafe Daniel Briand,SCLN 104- Bloco A- Loja 26- Asa Norte- Brasilia,30,No,No,No,No,3.8,9
6600292,Casa do Biscoito Mineiro,SCLN 210- Bloco D- Loja 36/48- Asa Norte- Brasilia,45,No,No,No,No,3.7,11
6600441,Maori,CLN 110- Bloco D- Loja 28- Asa Norte- Brasilia,60,No,No,No,No,3.8,11
6600970,Pizza bessa,SCS 214- Bloco C- Loja 40- Asa Sul- Brasilia,50,No,No,No,No,3.2,11
6600379,Sushi Loko,SCS 213- Bloco C- Loja 35- Asa Sul- Brasilia,80,No,No,No,No,3.1,10
6600214,Beirute,CLS 109- Bloco A- Loja 2/6- Asa Sul- Brasilia,90,No,No,No,No,3.7,8
6601218,New Koto,SCS 212- Bloco B- Loja 26- Asa Sul- Brasilia,200,No,No,No,No,3.7,5
6600060,Sandubas Cafe,Edifício Jose Severo- SCS 6- Bloco A- Loja 99- Asa Sul- Brasilia,30,No,No,No,No,0,2
6600083,Villa Tevere,CLS 115- Bloco A- Loja 2- Asa Sul- Brasilia,150,No,No,No,No,4.1,12
6601515,Rovereto,Rua 13 Norte- Lote 4- aguas Claras- Brasilia,100,No,No,No,No,3.1,9
6601361,Buena Carne,Avenida Araucarias- 1325- Loja 19- aguas Claras- Brasilia,60,No,No,No,No,3.6,9
6601602,Taco Pep,Vila Malls- Avenida das Castanheiras- Lote 1060- aguas Claras- Brasilia,100,No,No,No,No,4.3,29
6601589,Coco Bambu,Brasilia Shopping - Piso 2- SCN 5- Bloco A- Asa Norte- Brasilia,230,No,No,No,No,4.2,17
6601862,Taypíc,Fashion Park- Shis Ql 17- Bloco G- Loja 208- Lago Sul- Brasilia,100,No,No,No,No,3.6,5
6601595,Outback Steakhouse,ParkShopping - Piso 2- SAI/SO- area 6580- Guara- Brasilia,150,No,No,No,No,4,10
6601158,Manzuc,Pontao Lago Sul- SHIS 10- Lote 9- Lago Sul- Brasilia,240,No,No,No,No,3.2,6
6600427,Coco Bambu,SCES- Trecho 2- Conjunto 13/36- Setor de Clubes Esportivos Sul- Brasilia,230,No,No,No,No,4.9,30
6600116,Gero,Shopping Iguatemi - piso 1- SHIN CA 4- Lote A- Lago Norte- Brasilia,350,No,No,No,No,3.3,8
6601457,Brazilian American Burgers,CLSN 301- Bloco C- Loja 86- Sudoeste- Brasilia,50,No,No,No,No,3.6,9
7303219,Pesqueiro Eco Gourmet,Praia da Barra da Tijuca- Avenida Lucio Costa- Ilha 25- Barra da Tijuca- Rio de Janeiro,140,No,No,No,No,4,7
7304307,Confeitaria Colombo,Rua Goncalves Dias- 32- Centro- Rio de Janeiro,100,No,No,No,No,4.8,29
7301215,Bibi,Rua Santa Clara- 36- Copabana- Rio de Janeiro,60,No,No,No,No,4.7,24
7300596,Cervantes,Avenida Prado Junior- 335 B- Copacabana- Rio de Janeiro,90,No,No,No,No,4.5,29
7300612,Amir,Rua Ronald de Carvalho- 55- Copacabana- Rio de Janeiro,170,No,No,No,No,4.2,11
7300704,TT Burger,Galeria River- Rua Francisco Otaviano- 67- Copacabana- Rio de Janeiro,60,No,No,No,No,4.8,19
7300955,Braseiro da Gavea,PracaSantos Dumont- 116- Gavea- Rio de Janeiro,100,No,No,No,No,4.9,40
7300521,Balada Mix,Rua Anabal de Mendonca- 37- Ipanema- Rio de Janeiro,90,No,No,No,No,4.6,21
7300515,Garota de Ipanema,Rua Vinicius de Moraes- 49- Ipanema- Rio de Janeiro,120,No,No,No,No,4.9,49
7300483,Zazic Bistric Tropical,Rua Joana Angelica- 40- Ipanema- Rio de Janeiro,170,No,No,No,No,4.6,21
7301064,Filic de Ouro,Rua Jardim Botanico- 731- Jardim Botanico- Lagoa- Rio de Janeiro,90,No,No,No,No,4.3,14
7304312,D.O.C Ristorante,Le Monde- Bloco 3- Lojas A/B- Avenida das Americas- 3500- Barra da Tijuca- Rio de Janeiro,150,No,No,No,No,4,5
7300004,Sushi Leblon,Rua Dias Ferreira- 256- Leblon- Rio de Janeiro,250,No,No,No,No,4.6,25
7300868,Talho Capixaba,Avenida Ataulfo de Paiva- 1022- Lojas A e B- Leblon- Rio de Janeiro,120,No,No,No,No,4.4,13
7302637,Leme Light,Rua Gustavo Sampaio- 798- Leme- Rio de Janeiro,40,No,No,No,No,4.2,7
7302140,Shirley,Rua Gustavo Sampaio- 610- Leme- Rio de Janeiro,250,No,No,No,No,4.2,8
7305048,Quiosque Chopp Brahma,Madureira Shopping - Loja 289/290- Piso 2- Estrada do Portela- 222- Madureira- Rio de Janeiro- RJ,70,No,No,No,No,0,1
7302898,Aprazivel,Rua Aprazivel- 62- Santa Teresa- Rio de Janeiro,300,No,No,No,No,4.7,44
7302859,Aconchego Carioca,Rua Barao de Iguatemi- 379- Tijuca- Rio de Janeiro,85,No,No,No,No,4.6,24
7301700,Garota de Ipanema,Avenida Joao Alves- 56- Urca- Rio de Janeiro,80,No,No,No,No,4.3,10
6706313,Cantina Famiglia Mancini,Rua Avanhandava- 81- Bela Vista- Sao Paulo 10000,250,No,No,No,No,4.5,49
6704326,Templo da Carne - Marcos Bassi,Rua Treze de Maio- 668- Bela Vista- Sao Paulo 01327000,250,No,No,No,No,4.4,17
6711179,Gopala Hari,Rua Antonio Carlos- 429- Consolacao- Sao Paulo,70,No,No,No,No,3.1,5
6702797,Jiquitaia,Rua Antonio Carlos- 268- Consolacao- Sao Paulo,100,No,No,No,No,4.1,15
6700475,Skye - Hotel Unique,Hotel Unique- Avenida Brigadeiro LuisAntonio- 4700- Jardim Paulista- Sao Paulo,300,No,No,No,No,4.8,59
6713413,Les 3 Brasseurs,Rua Jesuino Arruda- 470- Itaim Bibi- Sao Paulo,120,No,No,No,No,4.6,30
6714340,Red Steak & Burger,Rua Tabapua- 1417- Itaim Bibi- Sao Paulo,75,No,No,No,No,3.9,5
6710645,Cantinho da Gula,Rua Pedroso Alvarenga- 522- Itaim Bibi- Sao Paulo- SP,55,No,No,No,No,0,0
6700402,Paris 6 Classique,Rua Haddock Lobo- 1240- Cerqueira Cesar- Jardim Paulista- Sao Paulo,200,No,No,No,No,3.4,73
6700846,Kawa Sushi,Alameda Lorena- 300- Jardim Paulista- Sao Paulo,120,No,No,No,No,3.5,9
6702159,A Figueira Rubaiyat,Rua Haddock Lobo- 1738- Cerqueira Cesar- Jardim Paulista- Sao Paulo 10000,300,No,No,No,No,4.3,39
6711666,Kinoshita,Rua Jacques Felix- 405- Vila Nova Conceicao- Moema- Sao Paulo,230,No,No,No,No,3.9,12
6701257,Meats,Rua dos Pinheiros- 320- Pinheiros- Sao Paulo,120,No,No,No,No,4.3,68
6706211,Paribar,PracaDom Jose Gaspar- 42- Republica- Sao Paulo 10000,150,No,No,No,No,4.3,46
6705858,Terraco Italia,Edificio Italia - 41 Andar- Avenida Ipiranga- 344- Republica- Sao Paulo,400,No,No,No,No,4.4,37
6701419,Divino Fogao,Shopping MetroSanta Cruz - Piso L2- Rua Domingos de Morais- 2564- Vila Mariana- Sao Paulo,65,No,No,No,No,0,2
6703956,Super Grill,Shopping Morumbi - Piso Lazer- Avenida Roque Petroni Junior- 1089- Santo Amaro- Sao Paulo,50,No,No,No,No,0,2
6709580,Esquina Mocoto,Avenida Nossa Senhora do Loreto- 1104- Vila Medeiros- Vila Maria- Sao Paulo,100,No,No,No,No,4.4,22
6703176,Veloso,Rua Conceicao Veloso- 56- Vila Mariana- Sao Paulo,70,No,No,No,No,4.6,58
6713772,Sainte Marie Gastronomia,Rua Dom Joao Batista da Costa- 70- Vila Sonia- Sao Paulo,120,No,No,No,No,4.1,11
17284404,Austin's BBQ and Oyster Bar,2820 Meredyth Dr- Albany- GA 31707,25,No,No,No,No,3.3,35
17284203,BJ's Country Buffet,2401 Dawson Rd- Albany- GA 31707,10,No,No,No,No,3.3,25
17284105,Cookie Shoppe,115 N Jackson St- Albany- GA 31701,0,No,No,No,No,3.4,34
17284302,El Vaquero Mexican Restaurant,2700 Dawson Rd- Albany- GA 31707,0,No,No,No,No,3.4,45
17284397,Elements Coffee Co - Northwest,2726 Ledo Rd Ste 10- Albany- GA 31707,10,No,No,No,No,3.4,26
17284211,Pearly's Famous Country Cookng,814 N Slappey Blvd- Albany- GA 31701,0,No,No,No,No,3.4,36
17284094,Chick-fil-A,2703 Dawson Rd- Albany- GA 31707,10,No,No,No,No,3.5,67
17284409,Guang Zhou Chinese Restaurant,1214 N Westover Blvd- Albany- GA 31707,10,No,No,No,No,3.9,141
17284139,Harvest Moon,2347 Dawson Road- Albany- GA 31707,25,No,No,No,No,3.7,147
17284403,Henry Campbell's Steakhouse,629 N. Westover Blvd- Albany- GA 31707,70,No,No,No,No,3.5,51
17284145,Hong Kong Cafe,2700 Dawson Rd- Albany- GA 31707,25,No,No,No,No,3.6,88
17284150,House of China Restaurant II,2526 Dawson Rd Ste A- Albany- GA 31707,10,No,No,No,No,3.8,153
17284158,Jimmie's Hot Dogs,204 S Jackson St- Albany- GA 31701,10,No,No,No,No,3.9,160
17284175,Locos Grill & Pub,547 N Westover Blvd- Albany- GA 31707,25,No,No,No,No,3.5,57
17284179,Longhorn Steakhouse,2733 Dawson Rd- Albany- GA 31707,25,No,No,No,No,3.5,58
17284197,Mikata Japanese Steakhouse,2610 Dawson Rd- Albany- GA 31707,40,No,No,No,No,3.6,115
17284241,Shogun Japanese Steak House,629 N Westover Blvd- Albany- GA 31707,40,No,No,No,No,3.5,51
17284390,The Catch Seafood Room & Oyster Bar,2332 Whispering Pines Road- Albany- GA 31707,40,No,No,No,No,3.8,250
17284279,Villa Gargano,1604 N Slappey Blvd- Albany- GA 31701,10,No,No,No,No,3.7,117
17284364,3 Squares Diner,202 W Franklin St- Sylvester- GA 31791,10,No,No,No,No,3.4,20
16611114,Whitebull Hotel,117 Marsh St- Armidale- NSW,20,No,No,No,No,3.5,25
17293281,Last Resort Grill,184 W Clayton St- Athens- GA 30601,40,No,No,No,No,4.5,1821
17293301,Mama's Boy Restaurant,197 Oak St- GA 30601,10,No,No,No,No,4.5,849
17293409,Sr. Sol 1,175 Tallassee Rd- Athens- GA 30606,10,No,No,No,No,4.6,917
17293163,Choo Choo Eastside,1055 Gaines School Rd Ste 100- Athens- GA 30605,10,No,No,No,No,3.9,439
17293228,The Grill,171 College Ave- Athens- GA 30601,10,No,No,No,No,3.7,289
17293880,Big City Bread Cafe,393 N Finley St- Athens- GA 30601,10,No,No,No,No,4.3,558
17293169,Clocked,259 W Washington St- Athens- GA 30601,10,No,No,No,No,4.2,613
17293186,DePalma's Italian Cafe - Downtown,401 E Broad St- Athens- GA 30601,25,No,No,No,No,4,353
17293180,DePalma's Italian Cafe - East Side,1965 Barnett Shoals Rd- Athens- GA 30605,25,No,No,No,No,4.1,387
17293205,Five & Ten,1073 South Milledge Ave- Athens- GA 30605,40,No,No,No,No,4.3,755
17293229,Grit,199 Prince Ave- Athens- GA 30601,10,No,No,No,No,4.2,800
17293897,Ike & Jane,1307 Prince Ave- Athens- GA 30606,10,No,No,No,No,4.1,350
17293273,La Dolce Vita Ristorante,323 E Broad St- Athens- GA 30601,40,No,No,No,No,4.1,464
17293870,Shokitini,251 W Clayton St- Athens- GA 30601,25,No,No,No,No,4.2,550
17293877,Taqueria Del Sol,334 Prince Ave- Athens- GA 30601,10,No,No,No,No,4.1,543
17293890,The National,232 W. Hancock Ave.- Athens- GA 30601,40,No,No,No,No,4.1,465
17293915,The Royal Peasant,1675 S. Lumpkin St.- Athens- GA 30606,10,No,No,No,No,4.4,546
17293422,Transmetropolitan,145 E Clayton St- Athens- GA 30601,10,No,No,No,No,4.4,1098
17293873,Trappeze Pub,269 N Hull St- Athens- GA 30601,25,No,No,No,No,4.2,579
17294014,Viva! Argentine Cuisine,247 Prince Ave- Athens- GA 30601,10,No,No,No,No,4.1,374
17294556,Miyabi Kyoto Japanese Steak House,1315 Augusta West Pkwy- Augusta- GA 30909,40,No,No,No,No,4.6,717
17294607,Rae's Coastal Cafe,3208 W Wimbledon Dr- Augusta- GA 30909,40,No,No,No,No,4.9,548
17294279,The Bee's Knees,211 10th Street- Augusta- GA 30901,25,No,No,No,No,4.5,631
